n_estimators,max_depth,min_samples_leaf,train_acc,test_acc
10,5.0,1,0.9805194805194806,0.9
10,,1,1.0,0.88
10,10.0,1,1.0,0.88
50,5.0,1,0.9805194805194806,0.88
50,,1,1.0,0.88
50,10.0,1,1.0,0.88
10,20.0,1,1.0,0.88
50,20.0,1,1.0,0.88
200,,5,0.9545454545454546,0.86
100,20.0,5,0.9545454545454546,0.86
200,5.0,5,0.948051948051948,0.86
100,20.0,1,1.0,0.86
100,10.0,5,0.9545454545454546,0.86
200,10.0,5,0.9545454545454546,0.86
100,10.0,1,1.0,0.86
100,5.0,5,0.9545454545454546,0.86
200,20.0,5,0.9545454545454546,0.86
100,,5,0.9545454545454546,0.86
100,,1,1.0,0.86
50,10.0,5,0.948051948051948,0.84
10,20.0,10,0.9285714285714286,0.84
10,,10,0.9285714285714286,0.84
200,20.0,1,1.0,0.84
10,5.0,5,0.961038961038961,0.84
200,10.0,1,1.0,0.84
10,5.0,10,0.9285714285714286,0.84
200,5.0,1,0.987012987012987,0.84
10,10.0,5,0.961038961038961,0.84
200,,1,1.0,0.84
10,10.0,10,0.9285714285714286,0.84
10,20.0,5,0.961038961038961,0.84
50,,5,0.948051948051948,0.84
50,20.0,5,0.948051948051948,0.84
100,5.0,1,0.9805194805194806,0.84
10,,5,0.961038961038961,0.84
50,5.0,5,0.948051948051948,0.82
50,5.0,10,0.9155844155844156,0.82
200,10.0,10,0.9155844155844156,0.82
50,20.0,10,0.9155844155844156,0.82
200,5.0,10,0.9155844155844156,0.82
100,,10,0.9155844155844156,0.82
100,10.0,10,0.9155844155844156,0.82
200,,10,0.9155844155844156,0.82
50,,10,0.9155844155844156,0.82
100,20.0,10,0.9155844155844156,0.82
100,5.0,10,0.9155844155844156,0.82
50,10.0,10,0.9155844155844156,0.82
200,20.0,10,0.9155844155844156,0.82
